timestamp,symbol,side,size,price,tickDirection,trdMatchID,grossValue,homeNotional,foreignNotional
1621024257.387 , BTCUSD , Buy , 110004 , 49435.5 ,,,,,
1621024257.387 , BTCUSD , Buy , 825 , 49434 ,,,,,
1621024257.398 , BTCUSD , Buy , 2000 , 49430 ,,,,,
1621024257.387 , BTCUSD , Buy , 586 , 49432.5 ,,,,,
1621024327.508 , BTCUSD , Buy , 42000 , 49413 ,,,,,
1621024327.499 , BTCUSD , Buy , 20 , 49419.5 ,,,,,
1621024327.493 , BTCUSD , Buy , 1000 , 49423.5 ,,,,,
1621024327.493 , BTCUSD , Buy , 200 , 49419 ,,,,,
1621024327.493 , BTCUSD , Buy , 5012 , 49423.5 ,,,,,
1621024327.495 , BTCUSD , Buy , 295 , 49424 ,,,,,
1621024327.498 , BTCUSD , Buy , 100 , 49415 ,,,,,
1621024330.497 , BTCUSD , Buy , 164575 , 49405 ,,,,,
1621024330.49 , BTCUSD , Buy , 7694 , 49406.5 ,,,,,
1621024330.494 , BTCUSD , Buy , 2922 , 49416 ,,,,,
1621024330.497 , BTCUSD , Buy , 120 , 49410.5 ,,,,,
1621024330.5 , BTCUSD , Buy , 963 , 49405.5 ,,,,,
1621024330.497 , BTCUSD , Buy , 2486 , 49408.5 ,,,,,
1621024330.497 , BTCUSD , Buy , 1 , 49407.5 ,,,,,
1621024330.518 , BTCUSD , Buy , 1 , 49407.5 ,,,,,
1621024331.517 , BTCUSD , Buy , 113 , 49399.5 ,,,,,
1621024331.487 , BTCUSD , Buy , 9398 , 49394.5 ,,,,,
1621024331.503 , BTCUSD , Buy , 961 , 49402.5 ,,,,,
1621024332.501 , BTCUSD , Buy , 667 , 49393 ,,,,,
1621024332.505 , BTCUSD , Buy , 3400 , 49397.5 ,,,,,
1621024332.505 , BTCUSD , Buy , 585 , 49394 ,,,,,
1621024332.5 , BTCUSD , Buy , 700 , 49396.5 ,,,,,
1621024332.528 , BTCUSD , Buy , 12143 , 49398.5 ,,,,,
1621024332.523 , BTCUSD , Buy , 585 , 49395.5 ,,,,,
1621024332.528 , BTCUSD , Buy , 10184 , 49391.5 ,,,,,
1621024332.533 , BTCUSD , Buy , 208 , 49390.5 ,,,,,
1621024332.53 , BTCUSD , Buy , 962 , 49391.5 ,,,,,
1621024333.496 , BTCUSD , Buy , 69142 , 49388 ,,,,,
1621024333.505 , BTCUSD , Buy , 200 , 49389 ,,,,,
1621024333.505 , BTCUSD , Buy , 3232 , 49380.5 ,,,,,
1621024333.522 , BTCUSD , Buy , 140 , 49386 ,,,,,
1621024333.515 , BTCUSD , Buy , 622 , 49382.5 ,,,,,
1621024333.521 , BTCUSD , Buy , 963 , 49384.5 ,,,,,
1621024333.517 , BTCUSD , Buy , 961 , 49385.5 ,,,,,
1621024341.517 , BTCUSD , Buy , 6468 , 49373 ,,,,,
1621024341.531 , BTCUSD , Buy , 9222 , 49372.5 ,,,,,
1621024341.508 , BTCUSD , Buy , 400 , 49405.5 ,,,,,
1621024341.509 , BTCUSD , Buy , 64 , 49371 ,,,,,
1621024341.517 , BTCUSD , Buy , 1000 , 49376 ,,,,,
1621024341.531 , BTCUSD , Buy , 710 , 49373.5 ,,,,,
1621024343.515 , BTCUSD , Buy , 1074 , 49366 ,,,,,
1621024395.617 , BTCUSD , Buy , 210 , 49360 ,,,,,
1621024395.601 , BTCUSD , Buy , 16 , 49357 ,,,,,
1621024395.611 , BTCUSD , Buy , 20000 , 49358.5 ,,,,,
1621024395.601 , BTCUSD , Buy , 2345 , 49352 ,,,,,
1621024395.606 , BTCUSD , Buy , 10 , 49361 ,,,,,
1621024395.59 , BTCUSD , Buy , 4169 , 49356 ,,,,,
1621024395.59 , BTCUSD , Buy , 78 , 49358.5 ,,,,,
1621024395.611 , BTCUSD , Buy , 100 , 49355 ,,,,,
1621024395.603 , BTCUSD , Buy , 100 , 49360 ,,,,,
